Department,Revenue,COGS,Shipping,Salary,Taxes,Type,Date
Marketing,260880.95,125038.23,22663.17,55000,14338.21,ACTUAL,16/11/2023
Marketing,95916.23,68983.43,7957.95,55000,7344.45,ACTUAL,5/10/2023
Marketing,235540.21,172807.43,13207.93,55000,1072.73,ACTUAL,17/10/2024
Marketing,414360.93,187040.42,21915.15,55000,27785.03,ACTUAL,16/8/2022
Marketing,390360.36,190685.24,20331.39,55000,22221.94,ACTUAL,5/12/2023
Marketing,228987.71,283768.05,12375.86,55000,21490.9,ACTUAL,14/12/2021
Marketing,472733.02,189116.48,33425.29,55000,34177.34,ACTUAL,3/1/2023
Marketing,474442.04,273071.46,26056.25,55000,29880.32,ACTUAL,5/3/2024
Marketing,458313.76,167893.71,32051.33,55000,42915.38,ACTUAL,22/3/2022
Marketing,288485.56,107205.6,22574.31,55000,20872.37,ACTUAL,6/5/2025
Marketing,134556.38,151934.99,8729.67,55000,17796.38,ACTUAL,30/4/2025
Marketing,208143.02,270254.75,14234.48,55000,22661.38,ACTUAL,28/12/2022
Marketing,241921.02,282419.23,22044.82,55000,23308.42,ACTUAL,26/1/2022
Marketing,165069.2,203194.66,13060.46,55000,21871.71,ACTUAL,24/7/2024
Marketing,314246.23,232826.15,30334.11,55000,728.88,ACTUAL,20/10/2021
Marketing,270848.505,103048.64,25688.63,55000,55605.95,ACTUAL,4/9/2024
Operations,274034.75,113913.61,21790.53,52000,15360.6,ACTUAL,18/4/2025
Operations,306972.24,199771.43,26431.4,52000,5192.16,ACTUAL,12/12/2025
Operations,386572.47,117052.1,30041.06,52000,46434.88,ACTUAL,12/9/2025
Operations,514177.87,281283.38,27962.09,52000,38207.83,ACTUAL,2/8/2021
Operations,395925.96,51393.31,28913.28,52000,48715.32,ACTUAL,23/12/2024
Operations,177690.26,119618.79,15639.32,52000,1955.23,ACTUAL,27/2/2023
Operations,235265.65$,136637.15,23028.1,52000,4379.04,ACTUAL,25/1/2021
Operations,175034.4,67205.36,14530.5,52000,6775.9,ACTUAL,11/3/2024
Operations,208968.87,72671.78,11977.82,52000,11826.76,ACTUAL,28/3/2022
Operations,340582.47,60134.03,24394.18,52000,35647.85,ACTUAL,16/5/2022
Operations,108188.15,146904.25,10133.57,52000,17271.96,ACTUAL,19/5/2025
Operations,324978.98,201695.91,27495.84,52000,8401.86,ACTUAL,3/10/2022
Operations,107427.48,145647.26,6073.47,52000,20303.69,ACTUAL,3/12/2022
Operations,319660.56,248610.95,23153.18,52000,913.73,ACTUAL,6/12/2025
Operations,324890.51,232633,17415.5,52000,4875.82,ACTUAL,23/12/2023
Operations,146315.64,322457.39,13666.3,52000,42874.28,ACTUAL,20/11/2021
Operations,347963.24,68668.55,33087.16,52000,30397.45,ACTUAL,16/9/2023
Operations,231478.44,99634.93,21319.15,52000,11414.3,ACTUAL,29/12/2024
Operations,121218.2,64790.1,10507.28,52000,1253.05,ACTUAL,15/1/2023
Operations,102440.56,175906.48,7887.7,52000,20783.84,ACTUAL,9/5/2021
Operations,325232.52,264640.58,21332.26,52000,3065.65,ACTUAL,22/5/2022
Operations,236298.15,208807.38,19945.16,52000,7729.71,ACTUAL,17/8/2023
Operations,377336.66,146946.24,27948.27,52000,33440.5,ACTUAL,9/2/2023
Operations,374467.34,222569.35,27433.58,52000,15910.42,ACTUAL,7/1/2021
Operations,344939.69,99254.52,25083.62,52000,26340.17,ACTUAL,11/5/2023
Operations,393406.39,209520.35,23771.79,52000,18211.59,ACTUAL,14/10/2021
Operations,202467.98,252350.96,20194.83,52000,31116.59,ACTUAL,9/8/2022
Operations,165675.31,73083.12,14356.36,52000,5108.26,ACTUAL,12/8/2025
Operations,320758.73,142854.05,20204.8,52000,23336.79,ACTUAL,21/2/2023
Operations,250137.13,272698.31,19539.42,52000,19945.46,ACTUAL,19/1/2021
Operations,306972.24,242159.29,16577.13,52000,20396.8,ACTUAL,11/6/2024
Operations,227102.34,298261.68,14156.18,52000,31116.59,ACTUAL,24/6/2025
Operations,480110.19,114752.08,38982.45,52000,56667.64,ACTUAL,15/11/2022
Operations,435592.59,259189.59,30476.58,52000,16623.29,ACTUAL,14/4/2021
Operations,287603.88,261080.92,21607.19,52000,7810.84,ACTUAL,16/3/2022
Sales,237869.71,136927.53,15527.23,50000,6804.09,ACTUAL,20/8/2021
Sales,358811.41,105143.88,29805.94,50000,40982.29,ACTUAL,16/2/2024
Sales,157014.57,215968.49,13946.41,50000,26437.67,ACTUAL,10/1/2025
Sales,287908.48,262159.94,23841.15,50000,10200.1,ACTUAL,17/1/2025
Sales,115961.97,231178.17,5862.06,50000,27625.18,ACTUAL,27/1/2023
Sales,210563.7,138080.87,12213.45,50000,2211.16,ACTUAL,6/6/2025
Sales,154630.23,206512.2,13644.65,50000,25756.75,ACTUAL,4/3/2022
Sales,223069.11,113049.99,17265.1,50000,8745.04,ACTUAL,5/5/2023
Sales,171345.65,117818.25,9607.23,50000,1219.13,ACTUAL,17/5/2024
Sales,109768.28,242382.56,8347.65,50000,43632.83,ACTUAL,21/5/2021
Sales,437308.68,195775.24,35312.96,50000,38541.57,ACTUAL,24/5/2024
Sales,404228.93,65254.56,23246.58,50000,60469.33,ACTUAL,10/11/2023
Sales,150384.43,77574.53,13884.35,50000,2076.06,ACTUAL,29/11/2024
Sales,293607.13,191920.93,21455.01,50000,5937.2,ACTUAL,22/9/2023
Sales,134775.14,237491.05,12028.79,50000,33268.31,ACTUAL,17/7/2023
Sales,110678.62,287555.76,8931.4,50000,50858.72,ACTUAL,23/10/2023
Sales,92141.2,158771.04,4921.13,50000,26218,ACTUAL,9/4/2022
Sales,258492.11,224475.85,19932.81,50000,8393.85,ACTUAL,12/4/2025
Sales,463429.6,76294.4,41405.2,50000,70371.37,ACTUAL,5/8/2023
Sales,373328.57,121070.27,26160.89,50000,42390.08,ACTUAL,19/7/2025
Sales,296559.7,203908.41,22514.93,50000,3786.48,ACTUAL,4/11/2023
Sales,144341.76,189093.39,14023.35,50000,21441.37,ACTUAL,5/10/2024
Sales,415125.54,130540.58,41173.79,50000,29433.76,ACTUAL,28/8/2022
Sales,319223.15,234197.54,27394.51,50000,1585.43,ACTUAL,17/12/2023
Sales,196744.5,274937.77,11332.73,50000,21397.9,ACTUAL,10/7/2022
Sales,207239.87,317529.74,11389.68,50000,30220.53,ACTUAL,13/7/2025
Sales,313147.93,57117.87,29625.12,50000,30074.95,ACTUAL,23/7/2023
Sales,236991.9,96806.42,19389.39,50000,10854.38,ACTUAL,25/5/2025
Sales,195137.93,254742.05,12546.46,50000,22417.17,ACTUAL,10/11/2024
Sales,216194.63,143649.32,15415.58,50000,1762.47,ACTUAL,27/11/2022
Sales,504947.61,124021.86,26217.55,50000,46534.04,ACTUAL,10/9/2023
Sales,431449.32,215982.94,34795.08,50000,23708.35,ACTUAL,29/9/2024
Sales,117442.16$,211946.78,11321.92,50000,26294.36,ACTUAL,29/8/2024
Sales,245762.91,107365.64,21996.15,50000,11943.74,ACTUAL,2/12/2021
Sales,280088.3,224302.92,16729.99,50000,1807.23,ACTUAL,22/12/2022
Sales,447889.02,76031.42,26541.8,50000,71057.21,ACTUAL,22/2/2024
Sales,305810.39,228511.24,22321.11,50000,816.02,ACTUAL,28/7/2022
Sales,173759.21,68902.01,9605.97,50000,10224.06,ACTUAL,9/6/2022
Sales,316835.31,113912.98,25993.59,50000,24747.8,ACTUAL,16/6/2022
Sales,400496.68,292528.53,32512.03,50000,5619.9,ACTUAL,27/5/2021
Sales,298190.33,66278.22,24082.14,50000,33999.33,ACTUAL,3/11/2022
Sales,529362.62,63154.51,26606.55,50000,62753.93,ACTUAL,18/9/2025
Sales,140892.75,255664.45,8118.35,50000,40197.79,ACTUAL,20/4/2021
Sales,388539.93,245946.11,33754.57,50000,11962.19,ACTUAL,16/1/2024
Sales,250180.97,199112.65,24590.56,50000,4143.93,ACTUAL,10/5/2022
Sales,171483.4,155205.38,11765.19,50000,10548.76,ACTUAL,10/9/2024
Sales,520260.41,254457.22,28641.53,50000,29052.32,ACTUAL,27/9/2022
Sales,259945.3,319456.68,18684.91,50000,25014.16,ACTUAL,23/8/2023
Sales,306231.04,62187.79,19173.75,50000,30425.09,ACTUAL,11/12/2024
Sales,334080.68,76992.79,23244.09,50000,43621.61,ACTUAL,31/12/2025
Sales,358370.89,116757.71,24986.99,50000,30496.18,ACTUAL,5/7/2023
Sales,534792.26,238481.25,33775.14,50000,44594.81,ACTUAL,21/7/2021
Sales,279189.76,99956.6,14089.75,50000,27302.86,ACTUAL,18/6/2025
Sales,263913.64,222005.84,17228.34,50000,5707.15,ACTUAL,12/11/2025
Sales,398297.09,214909.2,31875.6,50000,16428.1,ACTUAL,8/9/2021
